Date,raw_momentum_spx,raw_strength_proxy,raw_breadth_rsp_spx,raw_junk_bond_mom_20d,raw_hy_spread,raw_vix_rel,raw_safe_haven_20d,raw_put_call,score_momentum_spx,score_strength_proxy,score_breadth_rsp_spx,score_safe_haven_20d,score_junk_bond_mom_20d,score_put_call,score_hy_spread,score_vix_rel,FG_est_mean
1996-01-26,0.05454423236394908,0.09222992097225628,,,,-0.043489343169853825,,,,,,,,,,73.01587301587301,73.01587301587301
1996-01-29,0.0580276391601608,0.09569136327085864,,,,-0.027165957766012234,,,,,,,,,,64.42687747035573,64.42687747035573
1996-01-30,0.06704649088266292,0.1048977312896604,,,,-0.008573193710349427,,,,,,,,,,55.51181102362205,55.51181102362205
1996-01-31,0.07586012903662724,0.11391423385514711,,,,0.00014366240996470237,,,,,,,,,,49.411764705882355,49.411764705882355
1996-02-01,0.07882659469682671,0.11688153195026649,,,,0.009270909321353991,,,,,,,,,,44.140625,44.140625
1996-02-02,0.0732995985250734,0.11102961626661594,,,,0.053042094329664495,,,,,,,,,,27.237354085603116,27.237354085603116
1996-02-05,0.0815518621127088,0.11949694655588622,,,,0.06854231793201358,,,,,,,,,,20.542635658914733,20.542635658914733
1996-02-06,0.08854217835758915,0.1267369736893587,,,,0.1532685384688666,,,,,,,,,,3.8610038610038657,3.8610038610038657
1996-02-07,0.09324300509946433,0.13165320397251057,,,,0.11237246694119218,,,,,,,,,,11.15384615384616,11.15384615384616
1996-02-08,0.102073813339752,0.14091968746196212,,,,0.09103766114367509,,,,,,,,,,14.559386973180082,14.559386973180082
1996-02-09,0.1011478281654205,0.14002564869701206,,,,0.14380875249258196,,,,,,,,,,4.961832061068705,4.961832061068705
1996-02-12,0.10814015697433613,0.1473867915289771,,,,0.1429415927529121,,,,,,,,,,5.703422053231947,5.703422053231947
1996-02-13,0.1050762693128963,0.14430470154363806,,,,0.15550603326135815,,,,,,,,,,3.787878787878782,3.787878787878782
1996-02-14,0.09541264155819691,0.1343809438434792,,,,0.1966533831623727,,,,,,,,,,1.5094339622641542,1.5094339622641542
1996-02-15,0.08695624273513913,0.1257353237358539,,,,0.22964561342577444,,,,,,,,,,0.3759398496240607,0.3759398496240607
1996-02-16,0.08008630676323707,0.11873036117352831,,,,0.1669577112334069,,,,,,,,,,4.119850187265911,4.119850187265911
1996-02-20,0.06671433121651599,0.1049256313250653,,,,0.2677139939665566,,,,,,,,,,0.3731343283582049,0.3731343283582049
1996-02-21,0.0778129694470613,0.11657920419442869,,,,0.08640161500155777,,,,,,,,,,18.58736059479554,18.58736059479554
1996-02-22,0.09423106643682641,0.1337956417056366,,,,0.0874436518414166,,,,,,,,,,18.148148148148152,18.148148148148152
1996-02-23,0.09315889806065158,0.13286111349661348,,,,0.09707396461263573,,,,,,,,,,15.498154981549817,15.498154981549817
1996-02-26,0.07755468115768079,0.11683435804039864,,,,0.20506741307051476,,,,,,,,,,1.838235294117652,1.838235294117652
1996-02-27,0.07098211883492317,0.11014581752091114,,,,0.21353196434382898,,,,,,,,,,1.8315018315018392,1.8315018315018392
1996-02-28,0.065679368002407,0.10476637872301062,,,,0.21076943905144618,,,,,,,,,,2.189781021897801,2.189781021897801
1996-02-29,0.0574406988127228,0.0963099144574475,,,,0.22950827455743253,,,,,,,,,,1.4545454545454533,1.4545454545454533
1996-03-01,0.06281565123240233,0.10194819943584467,,,,0.20025264784283794,,,,,,,,,,3.6231884057971087,3.6231884057971087
1996-03-04,0.0722825948482265,0.11171391161112507,,,,0.1890326709717609,,,,,,,,,,5.054151624548737,5.054151624548737
1996-03-05,0.07926966405563102,0.1189152771294632,,,,0.13971008470620105,,,,,,,,,,10.071942446043167,10.071942446043167
1996-03-06,0.07187916373382724,0.1112320250056499,,,,0.16395122413169788,,,,,,,,,,7.1684587813620055,7.1684587813620055
1996-03-07,0.07344865628898915,0.11285823156477977,,,,0.15094154901602555,,,,,,,,,,8.57142857142857,8.57142857142857
1996-03-08,0.03954368214219948,0.07759005623278678,,,,0.42740907674654305,,,,,,,,,,0.35587188612099396,0.35587188612099396
1996-03-11,0.04936783209829048,0.08764989171154605,,,,0.32470226984739387,,,,,,,,,,0.35460992907800915,0.35460992907800915
1996-03-12,0.0437654129317011,0.08162808189074139,,,,0.29194247092488296,,,,,,,,,,1.0600706713780852,1.0600706713780852
1996-03-13,0.04540453973699954,0.08304973788808893,,,,0.21718693162098615,,,,,,,,,,3.1690140845070403,3.1690140845070403
1996-03-14,0.04841292357884522,0.08599494139162807,,,,0.12929910611384526,,,,,,,,,,13.68421052631578,13.68421052631578
1996-03-15,0.0485240785539562,0.08595073012035019,,,,0.09923711745598576,,,,,,,,,,19.230769230769226,19.230769230769226
1996-03-18,0.0659109445686284,0.10382383183807271,,,,0.14473525108574187,,,,,,,,,,10.452961672473876,10.452961672473876
1996-03-19,0.06344099954573165,0.1011191688564551,,,,0.2051595626132447,,,,,,,,,,4.166666666666657,4.166666666666657
1996-03-20,0.0597239342881665,0.0971691920868277,,,,0.21999058558984205,,,,,,,,,,3.1141868512110733,3.1141868512110733
1996-03-21,0.05750546797727109,0.09476333117372829,,,,0.1578122906193301,,,,,,,,,,9.310344827586206,9.310344827586206
1996-03-22,0.05888535709913084,0.09608176325066167,,,,0.10936154024476988,,,,,,,,,,19.243986254295535,19.243986254295535
1996-03-25,0.056996883989039515,0.09397947459627215,,,,0.15533567499431236,,,31.349206349206348,,,,,,,9.93150684931507,20.64035659926071
